R/Ω,U/V,I/mA,P/mW
0,0.09,8.8,0.792
100,1.12,8.6,9.632
200,1.9,8.3,15.770
300,2.74,8.2,22.468
400,3.52,8.1,28.512
500,4.07,7.7,31.339
600,4.42,7,30.940 
700,4.6,6.4,29.440 
800,4.74,5.7,27.018
900,4.83,5.2,25.116
1000,4.9,4.8,23.52
1100,4.9,4.7,23.03
1200,4.9,4.7,23.03
1300,4.92,4.6,22.632
1400,4.92,4.6,22.632
1500,4.93,4.5,22.185
410,3.53,8.2,28.946
420,3.58,8.1,28.998
430,3.68,8.1,29.808
440,3.71,8.1,30.051
450,3.78,8.1,30.618
460,3.84,8,30.72
470,3.9,7.9,30.81
480,3.94,7.9,31.126
490,4,7.8,31.2
500,4.03,7.8,31.434
510,4.09,7.7,31.493
520,4.14,7.6,31.464
530,4.18,7.6,31.768
540,4.21,7.5,31.575
550,4.25,7.4,31.450 
560,4.28,7.4,31.672
570,4.34,7.2,31.248
580,4.34,7.2,31.248
590,4.36,7.1,30.956
2000,5.15,2.5,12.875
3000,5.22,1.675,8.7435
4000,5.25,1.275,6.69375
10000,5.29,0.523,2.76667
99999,5.38,0,0
